id,시설명,영문명,유형,세부장르,주소,자치구,위도,경도,운영주체,공공민간,설립구분,설립연도,웹사이트,전화,입장료,휠체어접근,운영상태,최근접지하철역,지하철역거리m_직선,데이터출처,데이터기준일,데이터신뢰도,osm_id
F00010,CGV,CGV Cinemas,영화관·시네마테크,자료 없음,서울특별시 종로구 대명길 28,종로구,37.583414,126.999837,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),혜화,234,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/10261848146
F00011,CGV,CGV Cinema,영화관·시네마테크,자료 없음,자료 없음,마포구,37.557665,126.925938,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),홍대입구,92,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/10698229564
F00012,CGV,CGV Cinema,영화관·시네마테크,자료 없음,서울특별시 광진구 아차산로30길 26,광진구,37.539775,127.066961,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),건대입구,223,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/10879828145
F00013,롯데시네마극장,Lotte Cinema,영화관·시네마테크,자료 없음,자료 없음,용산구,37.53278,126.95964,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),용산,555,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368633890
F00014,메가박스 상암,MEGABOX Sangam,영화관·시네마테크,자료 없음,서울특별시 마포구 월드컵로 240,마포구,37.56907,126.898196,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),월드컵경기장,159,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368633912
F00015,상봉시네마,Sangbong Cinema,영화관·시네마테크,자료 없음,자료 없음,중랑구,37.596832,127.088991,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),상봉,311,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634119
F00016,메가박스,Megabox,영화관·시네마테크,자료 없음,자료 없음,강남구,37.499705,127.034738,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),역삼,232,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634331
F00017,메가박스,자료 없음,영화관·시네마테크,자료 없음,자료 없음,성동구,37.541849,127.044989,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),뚝섬,636,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/9081846589
F00018,메가박스,자료 없음,영화관·시네마테크,자료 없음,서울특별시 광진구 능동로 289,광진구,37.555718,127.078391,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),군자,199,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/10879828143
F00019,시네마로,Cinema Ro,영화관·시네마테크,자료 없음,자료 없음,중구,37.563849,126.991585,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),을지로3가,289,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634360
F00020,메가박스 센트럴,Megabox Central,영화관·시네마테크,자료 없음,자료 없음,서초구,37.504462,127.004102,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),고속터미널,104,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634400
F00021,태양극장,Taeyang Cinema,영화관·시네마테크,자료 없음,자료 없음,구로구,37.480218,126.891256,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),남구로,701,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634630
F00022,꿈나무극장,Ggumnamu Cinema,영화관·시네마테크,자료 없음,자료 없음,광진구,37.549593,127.082312,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),아차산,700,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634741
F00023,꿈나무극장,자료 없음,공연장,자료 없음,서울특별시 구로구 구로동로26길 54,구로구,37.489717,126.88655,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),남구로,484,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/13805210049
F00024,일미일극장,Ilmiil Cinema,영화관·시네마테크,자료 없음,자료 없음,동작구,37.514048,126.945094,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),노량진,270,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634755
F00025,계산예술극장,Gyesan Art Cinema,영화관·시네마테크,자료 없음,자료 없음,강동구,37.531553,127.12888,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),강동,574,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634808
F00026,실버영화관,Silver Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.572583,126.98774,자료 없음,확인 필요,확인 필요,자료 없음,http://bravosilver.org/,자료 없음,자료 없음,자료 없음,운영 중(추정),종로3가,223,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634836
F00027,롯데시네마 서울대입구,Lotte Cinema Seoul Nat'l Univ.,영화관·시네마테크,자료 없음,자료 없음,관악구,37.480975,126.952105,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,yes,운영 중(추정),서울대입구,60,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368634883
F00028,청DVD영화관,Cheong DVD Cinema,영화관·시네마테크,자료 없음,서울특별시 동대문구 왕산로 211-1,동대문구,37.581179,127.046076,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),청량리,185,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635086
F00029,도봉소극장,Dobongso Cinema,영화관·시네마테크,자료 없음,자료 없음,도봉구,37.673382,127.043742,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),방학,635,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635096
F00030,오픈시네마,Open Cinema,영화관·시네마테크,자료 없음,자료 없음,중구,37.560465,126.97739,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),회현,216,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635110
F00031,CGV 하계,CGV Haggye,영화관·시네마테크,자료 없음,자료 없음,노원구,37.638838,127.064649,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),하계,446,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635119
F00032,메가박스 이수점,MEGABOX Isu,영화관·시네마테크,자료 없음,서울특별시 동작구 동작대로 89,동작구,37.484683,126.981681,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),이수,93,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635130
F00033,메가박스 씨티극장,City Cinema,영화관·시네마테크,자료 없음,자료 없음,서초구,37.500355,127.02692,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),강남,273,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635189
F00034,암사어린이극장,Amsa Children Cinema,영화관·시네마테크,자료 없음,자료 없음,강동구,37.563459,127.133309,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),암사역사공원,800,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635201
F00035,게릴라극장,Gerilla Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.587434,127.000349,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),한성대입구,509,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635256
F00036,구로아트밸리 예술극장,Guroateubaelli Art Cinema,공연장,자료 없음,자료 없음,구로구,37.496559,126.888832,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),대림,640,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635268
F00037,열린극장,Yeollin Cinema,영화관·시네마테크,자료 없음,서울특별시 종로구 창경궁로 258-12,종로구,37.58365,127.000305,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,+82 02-743-6474,자료 없음,자료 없음,운영 중(추정),혜화,222,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635276
F00038,문화극장,Cultural Theatre,영화관·시네마테크,자료 없음,자료 없음,용산구,37.536383,126.976943,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),삼각지,288,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635314
F00039,라트어린이극장,Rateu Children Cinema,영화관·시네마테크,자료 없음,자료 없음,강남구,37.484232,127.042271,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),매봉,522,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635339
F00040,북촌창우극장,Bukchonchangu Cinema,영화관·시네마테크,자료 없음,서울특별시 종로구 창덕궁길 29-6,종로구,37.578888,126.988876,자료 없음,확인 필요,확인 필요,자료 없음,https://bcchangwoo.modoo.at/,+82 2 747 3809,자료 없음,자료 없음,운영 중(추정),안국,331,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635346
F00041,발렌타인극장,Vallentine Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.589425,126.998182,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),한성대입구,693,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635350
F00042,발렌타인극장,Vallentine Cinema,영화관·시네마테크,자료 없음,자료 없음,강서구,37.556854,126.855769,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),가양,480,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635495
F00043,극단실험극장,Geukdansilheom Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.588594,126.999065,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),한성대입구,608,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635355
F00044,우석레퍼토리극장,Useongnepeotori Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.584361,126.997208,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),혜화,486,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635365
F00045,청운예술극장,Chungun Art Theater,영화관·시네마테크,자료 없음,자료 없음,종로구,37.576515,127.002544,자료 없음,확인 필요,확인 필요,자료 없음,https://cwat.modoo.at/,+82 02-764-7606,자료 없음,자료 없음,운영 중(추정),종로5가,616,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635408
F00046,청춘극장,Cheongchun Cinema,영화관·시네마테크,자료 없음,자료 없음,강동구,37.538811,127.126929,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),천호,313,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635427
F00047,청춘극장,Cheongchun Cinema,영화관·시네마테크,자료 없음,자료 없음,서초구,37.500244,127.025087,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),강남,336,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/3112723447
F00048,청춘극장,자료 없음,공연장,자료 없음,자료 없음,성동구,37.545073,127.057753,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),성수,156,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/9415263874
F00049,세실극장,Cecil Cinema);제일화재세실극장 (Jeilhwajaesesil Cinema,공연장,자료 없음,자료 없음,종로구,37.56676,126.975934,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),시청,176,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635469
F00050,선돌극장,Seondol Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.586824,126.999666,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),혜화,559,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635479
F00051,극단현대극장,Geukdanhyeondae Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.58668,127.001786,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),한성대입구,421,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635509
F00052,청계극장,Cheonggye Cinema,영화관·시네마테크,자료 없음,자료 없음,종로구,37.570218,127.01164,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),동대문,183,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635567
F00053,풋볼 팬타지움,FOOTBALL faentasium,박물관,자료 없음,자료 없음,마포구,37.568495,126.896336,자료 없음,확인 필요,확인 필요,자료 없음,https://www.faentasium.com/,자료 없음,자료 없음,자료 없음,운영 중(추정),월드컵경기장,324,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635618
F00054,세종대왕기념관,Sejongdaewang Memorial Hall,기념관·기념물,자료 없음,자료 없음,동대문구,37.590064,127.043257,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),고려대,639,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635689
F00055,안중근의사기념관,자료 없음,박물관,총람: 박물관(사립·1종),서울특별시 중구 소월로 91,중구,37.55347,126.980396,사립,민간,민간,1970.10.26,자료 없음,02-3789-1016,자료 없음,자료 없음,운영 중(총람 등재),회현,607,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368635808
F00056,도산안창호기념관,자료 없음,박물관,총람: 박물관(사립·2종),서울특별시 강남구 도산대로 45길 20,강남구,37.523918,127.035531,사립,민간,민간,1998.11.09,자료 없음,02-541-1800,자료 없음,자료 없음,운영 중(총람 등재),압구정,669,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368635852
F00057,현암기념관,Hyeonam Memorial Hall,기념관·기념물,자료 없음,자료 없음,중구,37.56375,126.974855,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),시청,47,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635872
F00058,한국교회100주년기념관,Korea Church 100 Junyeon Memorial Hall,기념관·기념물,자료 없음,자료 없음,종로구,37.574395,127.000387,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),종로5가,405,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368635876
F00059,국립중앙도서관,The National Library of Korea,공공도서관,자료 없음,자료 없음,서초구,37.497259,127.003301,자료 없음,공공,국립(추정),자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),서초,722,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,way/256787242
F00060,성동구립금호도서관,자료 없음,공공도서관,총람: 공공도서관,서울특별시 성동구 난계로 20 (금호동1가) (금호동가 688),성동구,37.55412,127.024842,지자체,공공,공공,2006,https://www.sdlib.or.kr/KH/main.do,02-2204-6450,자료 없음,자료 없음,운영 중(총람 등재),신금호,406,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368652476
F00061,성동구립용답도서관,자료 없음,공공도서관,총람: 공공도서관,서울특별시 성동구 용답중앙3길 10 (용답동) 성동구립용답도서관,동대문구,37.566794,127.051319,지자체,공공,공공,2007,https://www.sdlib.or.kr/YD/main.do,02-2204-6470,자료 없음,자료 없음,운영 중(총람 등재),답십리,122,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368652481
F00062,원이영어도서관,Woniyeongeo Library,공공도서관,자료 없음,자료 없음,강서구,37.565982,126.806533,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),공항시장,442,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652535
F00063,역삼도서관,자료 없음,공공도서관,총람: 공공도서관,"서울특별시 강남구 역삼로7길 16 (역삼동) (역삼1문화센터), 5층",강남구,37.495475,127.03318,지자체,공공,공공,2007,https://library.gangnam.go.kr/yslib,02-508-1139,자료 없음,자료 없음,운영 중(총람 등재),강남,567,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368652537
F00064,구로꿈나무도서관,자료 없음,공공도서관,총람: 공공도서관,서울특별시 구로구 구로동로26길 54 (구로동) 구로시설관리공단 2층 구로꿈나무도서관,구로구,37.489851,126.886477,지자체,공공,공공,2004,http://lib.guro.go.kr,02-830-1623,자료 없음,자료 없음,운영 중(총람 등재),남구로,500,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,node/368652547
F00065,종달새도서관,Jongdalsae Library,공공도서관,자료 없음,자료 없음,중구,37.558798,126.981613,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),회현,282,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652558
F00066,사회과학도서관,Social Science Library,공공도서관,자료 없음,자료 없음,종로구,37.573671,126.964473,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),독립문,593,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652571
F00067,숲속작은도서관,Supsokjakeun Library,작은도서관,자료 없음,자료 없음,마포구,37.579096,126.894798,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),디지털미디어시티,345,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652591
F00068,산소망녹음도서관,Sansomangnokeum Library,공공도서관,자료 없음,자료 없음,광진구,37.548355,127.105393,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),광나루,377,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652594
F00069,부천족보전문도서관,Bucheonjokbojeonmun Library,공공도서관,자료 없음,자료 없음,양천구,37.522607,126.855353,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),신정,276,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652608
F00070,동대문구정보화도서관,자료 없음,공공도서관,총람: 공공도서관,서울특별시 동대문구 회기로10길 60 (청량리동) 동대문구정보화도서관,동대문구,37.589909,127.047276,지자체,공공,공공,2006,https://www.l4d.or.kr/info/index.do,02-960-1959,자료 없음,자료 없음,운영 중(총람 등재),회기,913,문화체육관광부 2025 문화기반시설총람(공공누리 1유형),2025-01-01,정부 공식 총람 — 좌표는 OSM,way/921578404
F00071,인성시각장애인도서관,Inseongsigakjangaein Library,공공도서관,자료 없음,자료 없음,송파구,37.493975,127.155012,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),마천,229,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652616
F00072,용문동 사과나무 도서관,Yongmundong Apple Namu Library,공공도서관,자료 없음,자료 없음,용산구,37.537268,126.960619,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),효창공원앞,239,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652624
F00073,금천은행나무어린이문고,Geumcheon Bank Namu Children Library,공공도서관,자료 없음,자료 없음,금천구,37.450003,126.906022,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),금천구청,1250,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652632
F00074,소나무언덕1호작은도서관,Sonamueondeok 1 Hojakeun Library,작은도서관,자료 없음,자료 없음,송파구,37.534655,127.117019,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),강동구청,543,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652637
F00075,두껍아두껍아어린이도서관,Duggeopaduggeopa Childrens Library,공공도서관,자료 없음,자료 없음,영등포구,37.524385,126.898343,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),영등포구청,182,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652651
F00076,어린이도서관은평사랑문고,Childrens Library Eunpyeongsarang Library,공공도서관,자료 없음,자료 없음,은평구,37.599959,126.925352,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),역촌,717,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368652665
